ID,Text,Comment
AnalyticsConsent.Agree,"Sí, accepto",
AnalyticsConsent.Disagree,"No, no estic d'acord",
AnalyticsConsent.Header,Dades de joc,Header of the panel that allows the player to consent to sending user data to the developers.
AnalyticsConsent.Info,"Si us plau, ajuda'ns a millorar el joc compartint dades sobre com jugues a Timberborn.

Si estàs d'acord, recopilarem automàticament informació relacionada amb la jugabilitat durant les teves sessions de joc.

Pots anar a la configuració del joc per retirar el teu consentiment i eliminar les teves dades en qualsevol moment. Per obtenir més informació, consulta la nostra <link><u>política de privacitat</u></link>.

Gràcies!",
Attractions.LoadRate,Popularitat,Header above a panel showing how popular an attraction is in each hour during the day
Attractions.Visitors,Visitants,"A header above a list of beavers visiting an attraction, such as a campfire."
Attractions.VisitorsLimit,Visitants: {0},{0} stands for capacity. Tells players the max capacity of the attraction in a shorter way
Automation.Api.OpenBrowser,Obre el navegador,A button which opens the web browser.
Automation.Api.Port,Port,Port as in the port number of a web server.
Automation.Api.StartApi,Inicia l'API,A button which starts the game's API. You may likely want to keep the term API in other languages.
Automation.Api.StopApi,Atura l'API,A button which stop the game's API. You may likely want to keep the term API in other languages.
Automation.Api.UnsafeWebhooksWarning,En iniciar l'API s'activaran webhooks que criden serveis externs:,This is an important safety warning so please make sure it is understandable. The message is followed by a list of web addresses.
Automation.Api.UnsafeWebhooksWarning.IUnderstandTheRisk,Entenc el risc,
Automation.Automate,Automatitza,This is for a button which adds automation to a building. Must be consistent with Automation.Automation.
Automation.Automation,Automatització,This is a collective name for the automation system and a set of buildings in the game which allow players to automate many processes.
Automation.AutomationNone,Cap,Dropdown value when no automation is selected
Automation.AutomationOptional,Opcional,Dropdown value when no automation is selected but it is optional
Automation.NoAutomation,Sense automatització,Dropdown value when no automation is selected
Automation.Input.A,A,"This should be one character, optionally two if you really need it. Those are labels preceding dropdowns for selecting input A and input B."
Automation.Input.B,B,"This should be one character, optionally two if you really need it. Those are labels preceding dropdowns for selecting input A and input B."
Automation.Input.Reset,RST,"Abbreviation for Reset, it should correspond to Automation.ResetButton. Three characters are OK for narrow letters but CJK and other languages with wider characters should be at most two - please let us know if it's a problem. It's likely that 'RST' is the best option in all languages because it is a very common abbreviation in electronics and schematics."
Automation.Measurement,Mesura: {0},Label for the measurement value in the automation panel. {0} is a measured value.
Automation.Mode,Mode,Keep short. This is a label for a dropdown in which select a mode of operation for different automation buildings.
Automation.Mode.Automated,Automàtic,"A mode in a dropdown or a radio button which denotes that this building will be automated as opposed to manually controlled. Gender should be consistent with Automation.Mode. Please keep short, at most the width of 10 latin characters."
Automation.PausedByAutomation,Pausat per l'automatització.,Dropdown value when no automation is selected
Automation.Pinned,Fixat,Checkbox label - when something is pinned it is always visible in the HUD.
Automation.PinnedAlways,Sempre fixat,Must be consistent with Automation.Pinned.
Automation.PinnedWhenOn,Fixat quan està actiu,Must be consistent with Automation.Pinned. This mode means that something is pinned to the HUD only when in the ON state.
Automation.ResetButton,Reinicia,A text for a button which resets the logic memory of the selected element to zero. It's likely that 'Reset' is a good option in many languages.
Automation.ResetCircuitButton,Reinicia el circuit,A text for a button which resets the logic memory of all elements in this circuit to zero.
Automation.ResetsWhenResetInput,Es reinicia quan <YellowHighlight>{0}</YellowHighlight>.,A text appended to some of the other mode descriptions such as Timer.Mode.* or Memory.Mode.*. {0} is Automation.Input.ResetInput. This text is meant to explain that the RST input resets this element.
Automation.SelectTransmitter,Selecciona l'emissor,A description of a tool which allows player to select a building which sends an automation signal (a transmitter).
Automation.State.Error,Error,A state label when a signal has an error. Keep very short because the other states are 'On' and 'Off'.
